TABLE_SCHEMA;TABLE_NAME;SoDong
dbo;KHO_QUYETTOANSL_TON;0
dbo;KHO_QUYETTOANSL_TON_LAN;0
dbo;KHO_SIMPORTS_DANHMUC;0
dbo;KHO_SIMPORTS_HANG;0
dbo;KHO_SIMPORTS_LAN;0
dbo;KHO_SKHO;0
dbo;KHO_SNPL;0
dbo;KHO_SNPL_ECUS;0
dbo;KHO_SO_KHO;0
dbo;KHO_SO_KHO_CODE;0
dbo;KHO_SP_HD;0
dbo;KHO_SP_HD_ECUS;0
dbo;KHO_SSP;0
dbo;KHO_SSP_ECUS;0
dbo;KHO_TB_HD;0
dbo;KHO_TB_HD_ECUS;0
dbo;KHO_TON_DAU;0
dbo;KHO_TON_DAU_BACKUP;0
dbo;KHO_TON_DAU_CODE;0
dbo;KHO_TON_DAU_CODE_BACKUP;0
dbo;KHO_TON_HANG;0
dbo;KHO_TON_HANG_CODE;0
dbo;KJ_DTINHTON;0
dbo;KJ_DTINHTON_CT;0
dbo;KJ_DTINHTON_KETQUA;0
dbo;KJ_DTINHTON_NPL;0
dbo;KJ_DTINHTON_QUYDOI;0
dbo;KJ_SDINHMUC;0
dbo;KJ_SNPL;0
dbo;LOAISP_HD;0
dbo;NPL_HD;0
dbo;NPL_HD_TMP;0
dbo;NPLCU;0
dbo;NSX_DCHUNGTU;0
dbo;NSX_DCHUNGTU_HANG;0
dbo;NSX_DCHUNGTU_HOPDONG;0
dbo;NSX_DHANGHOA;0
dbo;NSX_KHACHHANG;0
dbo;NSX_PAYMENT_TOKHAI;0
dbo;NSX_SPAYMENT;0
dbo;PHIEUNHAPKHO;0
dbo;PHIEUNHAPKHO_CHITIET;0
dbo;PHIEUXUATKHO;0
